Date/Time,Electricity:Facility [J](Hourly) 
 08/01  01:00:00,195501848.03313715 
 08/01  02:00:00,196591901.30051158 
 08/01  03:00:00,196595486.56321184 
 08/01  04:00:00,196595486.5641457 
 08/01  05:00:00,196595486.5641457 
 08/01  06:00:00,214787800.18110673 
 08/01  07:00:00,215678969.9838477 
 08/01  08:00:00,242599042.92840065 
 08/01  09:00:00,278441506.6705172 
 08/01  10:00:00,292588970.6303498 
 08/01  11:00:00,298909254.6017817 
 08/01  12:00:00,308751554.3696149 
 08/01  13:00:00,313700790.57740488 
 08/01  14:00:00,316545801.18015548 
 08/01  15:00:00,319446906.64636769 
 08/01  16:00:00,322319447.75961926 
 08/01  17:00:00,323595776.75788357 
 08/01  18:00:00,207326688.8713996 
 08/01  19:00:00,198151641.31594447 
 08/01  20:00:00,197729862.11218594 
 08/01  21:00:00,197913320.5523477 
 08/01  22:00:00,197751289.07561717 
 08/01  23:00:00,197560339.06969363 
 08/01  24:00:00,197396444.64289517 
 08/02  01:00:00,197340616.43447245 
 08/02  02:00:00,197279871.64369003 
 08/02  03:00:00,197203558.18517543 
 08/02  04:00:00,197207685.65295304 
 08/02  05:00:00,197153390.43806003 
 08/02  06:00:00,242452687.04308407 
 08/02  07:00:00,272062258.2651373 
 08/02  08:00:00,277639546.14963248 
 08/02  09:00:00,289588806.0880338 
 08/02  10:00:00,293407139.01707419 
 08/02  11:00:00,299148279.96952167 
 08/02  12:00:00,308895431.7257319 
 08/02  13:00:00,311489149.2542425 
 08/02  14:00:00,314174412.23315837 
 08/02  15:00:00,315503609.1214247 
 08/02  16:00:00,315517465.3696822 
 08/02  17:00:00,315423577.6219382 
 08/02  18:00:00,205918466.35981233 
 08/02  19:00:00,197571587.4572761 
 08/02  20:00:00,197289080.98141945 
 08/02  21:00:00,197161993.43978826 
 08/02  22:00:00,197196915.3926682 
 08/02  23:00:00,197238243.99409158 
 08/02  24:00:00,197137814.70291064 
 08/03  01:00:00,197056900.84084795 
 08/03  02:00:00,197032411.52321504 
 08/03  03:00:00,197032411.52321504 
 08/03  04:00:00,197032411.52321504 
 08/03  05:00:00,197032411.52321504 
 08/03  06:00:00,215589551.69265587 
 08/03  07:00:00,217392886.25144256 
 08/03  08:00:00,244473171.95261625 
 08/03  09:00:00,272615481.19175598 
 08/03  10:00:00,288062661.40996816 
 08/03  11:00:00,293182310.47585216 
 08/03  12:00:00,302340167.82964149 
 08/03  13:00:00,310091042.82620587 
 08/03  14:00:00,313930046.626118 
 08/03  15:00:00,315255379.1726553 
 08/03  16:00:00,315227443.69594958 
 08/03  17:00:00,315083360.68425258 
 08/03  18:00:00,205526200.71297393 
 08/03  19:00:00,197834006.21771679 
 08/03  20:00:00,197555822.3657374 
 08/03  21:00:00,197397220.6075212 
 08/03  22:00:00,197432337.586601 
 08/03  23:00:00,197392510.97190488 
 08/03  24:00:00,197368576.09914053 
 08/04  01:00:00,197397220.6075212 
 08/04  02:00:00,197330937.8314437 
 08/04  03:00:00,197246985.33901099 
 08/04  04:00:00,197194019.69674716 
 08/04  05:00:00,197198299.76795254 
 08/04  06:00:00,274756751.7807377 
 08/04  07:00:00,270750497.00252726 
 08/04  08:00:00,270639852.35129877 
 08/04  09:00:00,274079346.7310442 
 08/04  10:00:00,289410467.54917386 
 08/04  11:00:00,293321089.3342443 
 08/04  12:00:00,294830375.10510066 
 08/04  13:00:00,296079300.19527086 
 08/04  14:00:00,296158214.59827247 
 08/04  15:00:00,296135855.28293737 
 08/04  16:00:00,295592001.9529411 
 08/04  17:00:00,294848272.74014249 
 08/04  18:00:00,203064101.0740234 
 08/04  19:00:00,197286225.68969793 
 08/04  20:00:00,197192145.5438046 
 08/04  21:00:00,197063384.484591 
 08/04  22:00:00,196951897.62972517 
 08/04  23:00:00,196898638.59774248 
 08/04  24:00:00,196879916.46457229 
 08/05  01:00:00,196858530.67072634 
 08/05  02:00:00,196858130.70905296 
 08/05  03:00:00,196858130.70905296 
 08/05  04:00:00,196858130.70905296 
 08/05  05:00:00,196858130.70905296 
 08/05  06:00:00,213567469.98387004 
 08/05  07:00:00,215119364.62052826 
 08/05  08:00:00,232650142.793527 
 08/05  09:00:00,263215084.5210182 
 08/05  10:00:00,273976738.35456416 
 08/05  11:00:00,287685622.4371356 
 08/05  12:00:00,291535590.4157948 
 08/05  13:00:00,294839441.9137692 
 08/05  14:00:00,300308941.9677146 
 08/05  15:00:00,306274258.05323579 
 08/05  16:00:00,307393183.77840057 
 08/05  17:00:00,306114988.5242554 
 08/05  18:00:00,203839666.69433908 
 08/05  19:00:00,197237172.72854076 
 08/05  20:00:00,197397497.47807024 
 08/05  21:00:00,197269499.48101626 
 08/05  22:00:00,196894597.01875354 
 08/05  23:00:00,197007333.33922804 
 08/05  24:00:00,196960390.99910674 
